signal,year,total_count,eligible_count,observed_eligible_count,residual_missing_count,residual_missing_rate_total,residual_missing_rate_given_eligible,eligible_observation_rate
AnalystRevision,1988,41477,21074,14233,6841,0.1649347831328206,0.3246180127170922,0.6753819872829079
AnalystRevision,1989,42465,42465,29300,13165,0.31002001648416344,0.31002001648416344,0.6899799835158366
AnalystRevision,1990,42649,42649,30140,12509,0.29330113250017587,0.29330113250017587,0.7066988674998241
AnalystRevision,1991,43471,43471,29909,13562,0.31197810034275725,0.31197810034275725,0.6880218996572428
AnalystRevision,1992,44653,44653,30004,14649,0.3280630640718429,0.3280630640718429,0.6719369359281572
AnalystRevision,1993,47982,47982,31884,16098,0.3355008128048018,0.3355008128048018,0.6644991871951982
AnalystRevision,1994,54024,54024,35599,18425,0.34105212498148973,0.34105212498148973,0.6589478750185103
AnalystRevision,1995,60998,60998,40954,20044,0.32860093773566346,0.32860093773566346,0.6713990622643365
AnalystRevision,1996,63645,63645,43954,19691,0.3093880116269935,0.3093880116269935,0.6906119883730065
AnalystRevision,1997,66538,66538,46786,19752,0.2968529261474646,0.2968529261474646,0.7031470738525354
AnalystRevision,1998,67689,67689,49553,18136,0.2679312739145208,0.2679312739145208,0.7320687260854791
AnalystRevision,1999,65063,65063,48521,16542,0.2542458847578501,0.2542458847578501,0.74575411524215
AnalystRevision,2000,62471,62471,45424,17047,0.27287861567767446,0.27287861567767446,0.7271213843223255
AnalystRevision,2001,60139,60139,42447,17692,0.29418513776417965,0.29418513776417965,0.7058148622358204
AnalystRevision,2002,57332,57332,39264,18068,0.31514686388055535,0.31514686388055535,0.6848531361194446
AnalystRevision,2003,53731,53731,37036,16695,0.3107144851203216,0.3107144851203216,0.6892855148796784
AnalystRevision,2004,51294,51294,36325,14969,0.29182750419152337,0.29182750419152337,0.7081724958084766
AnalystRevision,2005,50116,50116,36701,13415,0.26767898475536755,0.26767898475536755,0.7323210152446324
AnalystRevision,2006,49533,49533,37162,12371,0.24975269012577472,0.24975269012577472,0.7502473098742253
AnalystRevision,2007,48469,48469,37479,10990,0.22674286657451154,0.22674286657451154,0.7732571334254884
AnalystRevision,2008,47294,47294,36779,10515,0.222332642618514,0.222332642618514,0.7776673573814861
AnalystRevision,2009,45632,45632,35624,10008,0.21931977559607294,0.21931977559607294,0.780680224403927
AnalystRevision,2010,43609,43609,35626,7983,0.18305854296131532,0.18305854296131532,0.8169414570386847
AnalystRevision,2011,41813,41813,34157,7656,0.18310094946547725,0.18310094946547725,0.8168990505345227
AnalystRevision,2012,40557,40557,33021,7536,0.18581256010059916,0.18581256010059916,0.8141874398994008
AnalystRevision,2013,39404,39404,32727,6677,0.16944980205055324,0.16944980205055324,0.8305501979494467
AnalystRevision,2014,39089,39089,32086,7003,0.1791552610708895,0.1791552610708895,0.8208447389291105
AnalystRevision,2015,39747,39747,32559,7188,0.1808438372707374,0.1808438372707374,0.8191561627292626
AnalystRevision,2016,39938,39938,33267,6671,0.16703390254895087,0.16703390254895087,0.8329660974510491
AnalystRevision,2017,39126,39126,32692,6434,0.16444308132699484,0.16444308132699484,0.8355569186730052
AnalystRevision,2018,38469,38469,32130,6339,0.16478203228573657,0.16478203228573657,0.8352179677142635
AnalystRevision,2019,38380,38380,32190,6190,0.16128191766545075,0.16128191766545075,0.8387180823345493
AnalystRevision,2020,38378,38378,32418,5960,0.15529730574808484,0.15529730574808484,0.8447026942519151
AnalystRevision,2021,38947,38947,32913,6034,0.1549284925668216,0.1549284925668216,0.8450715074331784
AnalystRevision,2022,40801,40801,34465,6336,0.15529031151197276,0.15529031151197276,0.8447096884880273
AnalystRevision,2023,42044,21353,18487,2866,0.06816668252307106,0.13422001592282115,0.8657799840771788
FEPS,1988,41477,21074,14502,6572,0.15844926103623694,0.3118534687292398,0.6881465312707602
FEPS,1989,42465,42465,29915,12550,0.2955375014718003,0.2955375014718003,0.7044624985281996
FEPS,1990,42649,42649,30663,11986,0.2810382423972426,0.2810382423972426,0.7189617576027574
FEPS,1991,43471,43471,30383,13088,0.3010742794046606,0.3010742794046606,0.6989257205953394
FEPS,1992,44653,44653,30445,14208,0.31818690793451726,0.31818690793451726,0.6818130920654827
FEPS,1993,47982,47982,32327,15655,0.32626818390229667,0.32626818390229667,0.6737318160977033
FEPS,1994,54024,54024,36075,17949,0.3322412261217237,0.3322412261217237,0.6677587738782763
FEPS,1995,60998,60998,41496,19502,0.3197154005049346,0.3197154005049346,0.6802845994950654
FEPS,1996,63645,63645,44640,19005,0.2986094744284704,0.2986094744284704,0.7013905255715296
FEPS,1997,66538,66538,47459,19079,0.28673840512188525,0.28673840512188525,0.7132615948781148
FEPS,1998,67689,67689,50312,17377,0.2567182260042252,0.2567182260042252,0.7432817739957748
FEPS,1999,65063,65063,49083,15980,0.24560810291563562,0.24560810291563562,0.7543918970843644
FEPS,2000,62471,62471,45897,16574,0.26530710249555794,0.26530710249555794,0.7346928975044421
FEPS,2001,60139,60139,42891,17248,0.28680224147391875,0.28680224147391875,0.7131977585260812
FEPS,2002,57332,57332,39842,17490,0.3050652340752111,0.3050652340752111,0.694934765924789
FEPS,2003,53731,53731,37551,16180,0.30112970166198283,0.30112970166198283,0.6988702983380172
FEPS,2004,51294,51294,36863,14431,0.28133894802511017,0.28133894802511017,0.7186610519748898
FEPS,2005,50116,50116,37231,12885,0.25710351983398516,0.25710351983398516,0.7428964801660148
FEPS,2006,49533,49533,37711,11822,0.23866917004825067,0.23866917004825067,0.7613308299517494
FEPS,2007,48469,48469,37894,10575,0.21818069281396357,0.21818069281396357,0.7818193071860364
FEPS,2008,47294,47294,37122,10172,0.2150801370152662,0.2150801370152662,0.7849198629847338
FEPS,2009,45632,45632,36156,9476,0.20766129032258066,0.20766129032258066,0.7923387096774194
FEPS,2010,43609,43609,36181,7428,0.17033181224059254,0.17033181224059254,0.8296681877594074
FEPS,2011,41813,41813,34482,7331,0.1753282471958482,0.1753282471958482,0.8246717528041518
FEPS,2012,40557,40557,33369,7188,0.17723204379022117,0.17723204379022117,0.8227679562097788
FEPS,2013,39404,39404,33005,6399,0.16239468074307176,0.16239468074307176,0.8376053192569283
FEPS,2014,39089,39089,32383,6706,0.17155721558494716,0.17155721558494716,0.8284427844150528
FEPS,2015,39747,39747,32794,6953,0.174931441366644,0.174931441366644,0.8250685586333559
FEPS,2016,39938,39938,33472,6466,0.16190094646702388,0.16190094646702388,0.8380990535329761
FEPS,2017,39126,39126,32923,6203,0.15853907887338342,0.15853907887338342,0.8414609211266165
FEPS,2018,38469,38469,32323,6146,0.15976500558891574,0.15976500558891574,0.8402349944110843
FEPS,2019,38380,38380,32414,5966,0.15544554455445544,0.15544554455445544,0.8445544554455445
FEPS,2020,38378,38378,32618,5760,0.15008598676324977,0.15008598676324977,0.8499140132367502
FEPS,2021,38947,38947,33154,5793,0.14874059619482888,0.14874059619482888,0.8512594038051712
FEPS,2022,40801,40801,34644,6157,0.15090316413813387,0.15090316413813387,0.8490968358618661
FEPS,2023,42044,21353,18589,2764,0.06574065264960517,0.12944316957804525,0.8705568304219548
ForecastDispersion,1988,41477,21074,8944,12130,0.29245123803553774,0.5755907753630065,0.42440922463699343
ForecastDispersion,1989,42465,42465,19117,23348,0.5498174967620393,0.5498174967620393,0.45018250323796066
ForecastDispersion,1990,42649,42649,19782,22867,0.5361673192806397,0.5361673192806397,0.46383268071936035
ForecastDispersion,1991,43471,43471,19798,23673,0.5445699431805111,0.5445699431805111,0.45543005681948884
ForecastDispersion,1992,44653,44653,20263,24390,0.5462119006561709,0.5462119006561709,0.4537880993438291
ForecastDispersion,1993,47982,47982,21714,26268,0.547455295735901,0.547455295735901,0.45254470426409904
ForecastDispersion,1994,54024,54024,24626,29398,0.5441655560491634,0.5441655560491634,0.45583444395083667
ForecastDispersion,1995,60998,60998,27648,33350,0.5467392373520443,0.5467392373520443,0.4532607626479557
ForecastDispersion,1996,63645,63645,29315,34330,0.5393982245266714,0.5393982245266714,0.46060177547332865
ForecastDispersion,1997,66538,66538,31195,35343,0.531170158405723,0.531170158405723,0.46882984159427693
ForecastDispersion,1998,67689,67689,32959,34730,0.5130818892286783,0.5130818892286783,0.4869181107713218
ForecastDispersion,1999,65063,65063,32072,32991,0.5070623856877181,0.5070623856877181,0.49293761431228195
ForecastDispersion,2000,62471,62471,29852,32619,0.5221462758720046,0.5221462758720046,0.47785372412799537
ForecastDispersion,2001,60139,60139,27331,32808,0.5455361745290078,0.5455361745290078,0.4544638254709922
ForecastDispersion,2002,57332,57332,25758,31574,0.5507221098165074,0.5507221098165074,0.4492778901834926
ForecastDispersion,2003,53731,53731,24574,29157,0.5426476335821034,0.5426476335821034,0.45735236641789656
ForecastDispersion,2004,51294,51294,24975,26319,0.5131009474792373,0.5131009474792373,0.48689905252076265
ForecastDispersion,2005,50116,50116,25358,24758,0.4940138877803496,0.4940138877803496,0.5059861122196504
ForecastDispersion,2006,49533,49533,25797,23736,0.479195687723336,0.479195687723336,0.520804312276664
ForecastDispersion,2007,48469,48469,25729,22740,0.46916585859002663,0.46916585859002663,0.5308341414099734
ForecastDispersion,2008,47294,47294,25400,21894,0.4629339873979786,0.4629339873979786,0.5370660126020214
ForecastDispersion,2009,45632,45632,24523,21109,0.4625920406732118,0.4625920406732118,0.5374079593267882
ForecastDispersion,2010,43609,43609,23792,19817,0.4544245453920062,0.4544245453920062,0.5455754546079937
ForecastDispersion,2011,41813,41813,23756,18057,0.43185133810059073,0.43185133810059073,0.5681486618994093
ForecastDispersion,2012,40557,40557,23333,17224,0.42468624405158173,0.42468624405158173,0.5753137559484183
ForecastDispersion,2013,39404,39404,23206,16198,0.41107501776469396,0.41107501776469396,0.5889249822353061
ForecastDispersion,2014,39089,39089,23069,16020,0.40983396863567756,0.40983396863567756,0.5901660313643224
ForecastDispersion,2015,39747,39747,23372,16375,0.4119807784235288,0.4119807784235288,0.5880192215764711
ForecastDispersion,2016,39938,39938,23576,16362,0.4096850117682408,0.4096850117682408,0.5903149882317592
ForecastDispersion,2017,39126,39126,23172,15954,0.4077595460818893,0.4077595460818893,0.5922404539181108
ForecastDispersion,2018,38469,38469,22692,15777,0.410122436247368,0.410122436247368,0.589877563752632
ForecastDispersion,2019,38380,38380,22943,15437,0.4022146951537259,0.4022146951537259,0.5977853048462741
ForecastDispersion,2020,38378,38378,23288,15090,0.3931940174058054,0.3931940174058054,0.6068059825941946
ForecastDispersion,2021,38947,38947,23644,15303,0.39291858166225896,0.39291858166225896,0.607081418337741
ForecastDispersion,2022,40801,40801,24476,16325,0.4001127423347467,0.4001127423347467,0.5998872576652533
ForecastDispersion,2023,42044,21353,13626,7727,0.1837836552183427,0.36186952653022997,0.63813047346977
REV6,1988,41477,41477,28083,13394,0.32292595896520965,0.32292595896520965,0.6770740410347904
REV6,1989,42465,42465,28664,13801,0.32499705639938775,0.32499705639938775,0.6750029436006123
REV6,1990,42649,42649,29198,13451,0.3153884030106216,0.3153884030106216,0.6846115969893785
REV6,1991,43471,43471,29160,14311,0.3292079777322813,0.3292079777322813,0.6707920222677187
REV6,1992,44653,44653,29389,15264,0.34183593487559627,0.34183593487559627,0.6581640651244037
REV6,1993,47982,47982,32657,15325,0.31939060481013715,0.31939060481013715,0.6806093951898629
REV6,1994,54024,54024,36974,17050,0.31560047386346807,0.31560047386346807,0.6843995261365319
REV6,1995,60998,60998,41619,19379,0.31769894094888357,0.31769894094888357,0.6823010590511164
REV6,1996,63645,63645,44128,19517,0.30665409694398615,0.30665409694398615,0.6933459030560138
REV6,1997,66538,66538,47817,18721,0.28135802098049234,0.28135802098049234,0.7186419790195077
REV6,1998,67689,67689,49364,18325,0.27072345580522683,0.27072345580522683,0.7292765441947732
REV6,1999,65063,65063,48045,17018,0.2615618708021456,0.2615618708021456,0.7384381291978543
REV6,2000,62471,62471,44825,17646,0.2824670647180292,0.2824670647180292,0.7175329352819708
REV6,2001,60139,60139,40993,19146,0.3183624603003043,0.3183624603003043,0.6816375396996958
REV6,2002,57332,57332,36577,20755,0.362014232889137,0.362014232889137,0.6379857671108631
REV6,2003,53731,53731,35541,18190,0.3385382739945283,0.3385382739945283,0.6614617260054717
REV6,2004,51294,51294,35278,16016,0.31223924825515653,0.31223924825515653,0.6877607517448434
REV6,2005,50116,50116,35975,14141,0.28216537632692157,0.28216537632692157,0.7178346236730785
REV6,2006,49533,49533,36696,12837,0.25916055962691537,0.25916055962691537,0.7408394403730846
REV6,2007,48469,48469,37104,11365,0.2344797705750067,0.2344797705750067,0.7655202294249933
REV6,2008,47294,47294,36114,11180,0.23639362286970864,0.23639362286970864,0.7636063771302913
REV6,2009,45632,45632,34169,11463,0.2512052945301543,0.2512052945301543,0.7487947054698457
REV6,2010,43609,43609,34297,9312,0.21353390355201907,0.21353390355201907,0.7864660964479809
REV6,2011,41813,41813,33243,8570,0.2049601798483725,0.2049601798483725,0.7950398201516274
REV6,2012,40557,40557,32507,8050,0.1984860813176517,0.1984860813176517,0.8015139186823483
REV6,2013,39404,39404,32245,7159,0.18168206273474774,0.18168206273474774,0.8183179372652523
REV6,2014,39089,39089,32325,6764,0.1730410089795083,0.1730410089795083,0.8269589910204918
REV6,2015,39747,39747,33171,6576,0.16544644878858783,0.16544644878858783,0.8345535512114122
REV6,2016,39938,39938,33439,6499,0.16272722720216334,0.16272722720216334,0.8372727727978366
REV6,2017,39126,39126,32519,6607,0.16886469355415837,0.16886469355415837,0.8311353064458417
REV6,2018,38469,38469,32151,6318,0.1642361381891913,0.1642361381891913,0.8357638618108088
REV6,2019,38380,38380,32417,5963,0.15536737884314747,0.15536737884314747,0.8446326211568526
REV6,2020,38378,38378,32386,5992,0.15613111678565844,0.15613111678565844,0.8438688832143415
REV6,2021,38947,38947,33384,5563,0.14283513492695202,0.14283513492695202,0.857164865073048
REV6,2022,40801,40801,35847,4954,0.12141859268155192,0.12141859268155192,0.878581407318448
REV6,2023,42044,0,0,0,0.0,0.0,0.0
